data$Geneid,A01,A04,A05,A14,A15,A16,A19,A20,A25,A26,A30,A31,A33,A36,A38,A41,A43,A50,A51,A57
ARTN,47.88634592103414,42.52368574035706,41.555528599470385,50.82519400733484,45.08877776703447,36.958122791629044,38.48323555551201,42.198493866911846,41.750355011076415,45.70343942281721,49.5129075625913,69.3629518414681,42.56716182498704,53.604847012142876,50.52274486725423,49.82317293532849,35.95536824565377,36.86479624967488,37.59910129581031,39.173051565571804
RAD54L,225.92532434539186,200.11146230756262,211.93319585729895,219.97779281299609,211.14744710416142,234.0681110136506,199.41312969674405,214.71586585222795,218.90726681483306,166.5636458964894,189.48208855683978,211.81804648362302,206.4960190658946,183.02226337003069,218.71030343850845,190.8480861590549,202.24894638180245,199.96359177853952,212.11568466881664,222.26448823074438
TAL1,225.92532434539186,202.61285558640716,247.25539516684879,274.77370510215394,135.2663333011034,175.55108326023796,251.8902690906241,227.12718757779024,215.52210289501608,216.32961326800145,175.19951906763075,254.3308234187164,259.0257081265169,279.5109879918879,256.6023620889491,188.3147044843772,241.20059531459404,247.99953840690375,267.45021110416013,246.10895440109243
DMRTA2,41.13314329114471,53.36305661535003,18.699987869761674,38.91303916186573,15.396168018011771,71.86301653927869,22.15701441074934,31.02830431390577,27.081311358536052,40.62527948694863,32.37382417554046,47.73364427799956,31.698950295203115,33.69447526477553,38.55683160922033,42.22302791129533,47.94049099420503,31.279221060330205,34.052016267903674,43.43099195313396
TTC39A,732.4155215870992,883.825625191735,791.6328198199109,744.1126060136367,691.7278345235288,873.6489582132309,752.1723313122802,791.8423260908753,750.378002226103,821.646277623536,671.2807659928244,753.2965737621805,730.887225377969,759.6572605149391,793.0741398241355,770.9924896602528,764.0515752201427,893.6920302951487,800.9317993013177,757.9133889860632
ECHDC2,377.565419762,434.40863275933384,382.3108631151276,286.68585994762304,366.20885357128,420.91195401577517,330.02289885484544,363.6517265589756,391.5506267255004,322.9709719212416,287.5557323827418,299.8269531211847,272.6109725387468,317.8001644291328,250.61940545993218,389.29631734214297,287.6429459652302,392.1073782919965,356.83675380740726,267.3986563389032
DIO1,179.8807609597821,268.48287859597986,171.41655547281533,192.97690849659946,196.85100537315049,293.61175328905296,149.2683076092587,199.82227978155316,198.59628329593104,258.98615672929753,215.19071363741602,190.1887389201545,145.81517135793433,116.39909636922454,142.26141317884745,215.33744234760618,161.05008693365752,178.73840605902973,122.01972495998817,156.69220626228721
SSBP3,4071.5672583115183,4148.14385408385,4128.541766357383,3980.2480056994095,3713.775671201839,4376.4577072420725,4029.0781467967877,3836.3395453713097,3754.1467870770603,4437.296151961964,3518.2729508418242,4060.3431163973373,4034.8235304322825,3880.2251401503995,3944.762737398508,4201.191277173885,3592.5405438782395,3828.3532347768432,3915.9818708089224,3634.5779148230536
TTC22,260.91919251845525,268.48287859597986,287.7720355513324,253.33182638030956,322.2198020912463,292.58513876706326,253.05642774382142,292.9071927232705,258.4008458793648,270.1581085882084,229.47328312662506,268.5017490637475,263.5541295972602,250.41121389958172,275.8807778935593,249.11586467664245,246.44408651708522,327.3147060955982,263.1937090706721,226.52242861830652
DHCR24,472.110256580452,623.6807241919036,460.22747923913454,469.33890091148265,494.87682915037834,490.72174151107447,369.6722930635548,424.46720301423096,463.76745701492985,507.81599358685787,482.7508487352652,499.71158853530784,443.78530413284363,386.7206820161736,422.79560178386436,561.5662712202279,373.7860157204423,508.2873422303658,426.3596203543772,367.88604948537
USP24,1437.2043051428325,1163.1478746627079,1514.6990174506955,1459.6360403981473,1511.0239183391552,1348.97148189446,1540.4955808736777,1356.5574646039604,1560.56056703564,1362.9781267871265,1328.2789624964398,1275.3833080528007,1455.4346606968973,1483.322695178868,1503.0516598008135,1368.0261043259686,1507.878255802105,1270.15979805698,1536.5972340891533,1403.4171517404857
ATG4C,484.3888068166146,504.4476445669808,529.8329896432474,501.8987908224315,527.8686177604036,592.3565791880543,518.9406006728135,537.410230716848,469.40939688129157,484.45645788186243,457.99439495396956,471.36973724524563,545.2219450774936,597.3111524210207,505.892221631322,475.43129428118544,555.8100674640646,475.89100613216664,552.6358473478534,522.8750795926323
TCTEX1D1,175.5832683771252,130.0724504999157,199.46653727745786,199.33005774751632,183.6542899291404,171.44462517227916,208.74239892232274,174.99963633042856,197.4678953226587,160.46985397344707,173.29517646906956,166.3219167811547,173.8913844765428,214.4193880485715,188.79552029342372,156.22520327179274,210.48871827143145,155.27899026378208,225.59460777486183,190.75572936278445
RPE65,98.84232940110894,100.05573115378131,128.8221386583582,112.76839920377417,73.68166122905633,138.5929604686089,87.46189898980002,86.87925207893616,86.88587394196983,102.5788307045453,119.02141241007524,88.00890663756168,114.11622106273121,100.31764226558167,109.68753819864406,112.31325424404558,97.37912233197896,75.96382257508763,102.86546580929235,119.22233085174028
TYW3,159.0072255583057,152.5849900095165,173.49433190278887,162.7994495547444,197.95073166015132,181.71077039217613,148.10214895606137,161.34718243231,159.1027042313993,155.3916940375785,141.87352359280968,142.45509464215493,168.45727871165084,169.23815985262252,144.25573205518643,126.669083733886,166.29357813614868,125.11688424132082,139.75515009952133,135.40250432447647
PTGFR,81.03843155867317,110.89510202877429,77.91661612400698,73.06121638554383,117.67071270908995,452.73700419745575,44.31402882149868,67.02113731803647,86.88587394196983,275.236268524077,204.71682934532942,164.8302403974672,85.13432364997408,54.370630540887774,80.43752801233897,242.3601802108352,63.670964601678556,78.1980526508255,80.1641216306899,88.56516006129277
