Geneid	A01	A04	A05	A14	A15	A16	A19	A20	A25	A26	A30	A31	A33	A36	A38	A41	A43	A50	A51	A57
HOTAIR	29.46852057	222.6240018	39.47775217	27.79502797	21.99452574	103.6880667	30.32012498	18.61698259	21.43937149	128.9852624	111.404042	40.27526236	34.41600318	26.80242351	53.1818367	157.0696638	25.46838584	24.57653083	23.41076118	28.10240656
HOXC11	5.525347606	77.54319164	7.272217505	8.73558022	6.598357722	36.95812279	5.830793266	3.723396518	4.513551893	49.76596737	34.27816677	11.18757288	3.622737177	3.828917644	17.94886989	35.46734345	5.992561374	12.28826542	9.222421073	6.81270462
HOXC-AS3	3.069637559	30.01671935	4.15555286	3.176574625	4.398905148	9.239530698	1.166158653	3.723396518	0	17.26574378	9.521712993	5.220867343	5.434105765	1.531567057	3.323864794	12.66690837	2.247210515	2.234230076	4.256502033	2.554764233
HOXC10	12.89247775	52.52925886	14.54443501	17.47116044	8.797810296	27.71859209	11.66158653	1.241132173	7.898715813	27.42206365	29.51731028	18.6459548	14.49094871	10.7209694	13.29545918	39.68964624	17.97768412	12.28826542	7.803587061	17.03176155
HOXC-AS2	6.75320263	43.3574835	7.272217505	3.176574625	7.698084009	19.50567592	4.664634613	4.96452869	4.513551893	17.26574378	24.75645378	2.983352767	7.245474353	6.12626823	7.977275505	18.57813228	2.247210515	4.468460151	2.837668022	4.257940388
HOXC8	11.66462272	48.36027006	8.31110572	8.73558022	14.29644173	35.93150827	10.49542788	14.89358607	10.15549176	63.98481519	39.99119457	11.93341107	7.245474353	9.955185874	20.60796172	36.311804	15.73047361	16.75672557	8.513004067	12.77382116
HOXC4	102.5258945	335.1866994	74.79995148	54.79591229	75.8811138	319.2771163	61.80640862	62.05660863	42.87874298	347.3461396	267.5601351	89.50058302	58.86947912	53.60484701	92.40344127	322.5839332	68.16538563	72.61247746	52.49685841	92.82310045
NCKAP1L	392.9136076	337.6880926	396.8552981	437.5731547	336.5162438	269.9996193	432.6448603	398.4034274	447.9700254	332.1116598	358.0164085	297.5894385	396.6897208	418.1178067	413.4887804	337.7842233	428.4681383	347.4227768	434.8726244	355.9638164
NXPH4	88.4055617	160.9229676	52.98329896	67.50221079	92.37700811	141.672804	58.30793266	73.22679818	82.37232205	124.9227344	142.8256949	110.3840524	54.34105765	61.2626823	63.15343108	88.66835861	68.9144558	99.42323837	65.97578152	78.34610313
NDUFA4L2	101.2980394	160.9229676	74.79995148	96.09138242	72.58193494	163.231709	76.96647111	81.91472339	100.4265296	106.6413587	99.97798642	111.1298906	86.94569224	85.76775522	79.77275505	91.20174029	85.39399958	87.13497295	71.65111756	81.75245544
GIHCG	24.55710047	15.84215743	34.28331109	26.20674066	37.39069376	41.06458088	37.3170769	33.51056866	27.08131136	22.34390372	31.42165288	30.57936587	33.51031888	35.99182585	41.8806964	23.64489563	40.44978928	37.98191129	27.66726322	35.76669926
LRIG3	192.7732387	580.3232407	132.9776915	173.1233171	321.1200758	977.3370249	69.96951919	148.9358607	242.6034143	426.5654346	544.6419832	305.0478205	180.2311745	137.8410352	153.5625535	603.7892991	144.5705432	251.3508835	108.5408019	232.4835452
C12orf66	271.3559602	249.3055301	266.9942713	253.3318264	266.1337615	265.8931612	221.5701441	264.3611528	245.9885782	225.4703012	279.938362	245.3807651	253.5916024	243.5191621	248.6250866	262.6272336	258.4292093	250.2337685	277.3820492	276.7661252
LINC02389	172.5136308	526.1263863	182.8443258	177.888179	150.6625013	478.4023672	173.7576393	176.2407685	179.4136878	286.4082204	435.1422838	310.2686878	167.5515944	196.8063669	222.6989412	392.6741596	163.2972974	141.8736098	154.6529072	198.4200221
MSRB3	1023.417162	1178.990032	1066.938197	1095.124102	927.0692599	1112.850142	1055.373581	1006.558192	1020.062728	968.9129158	1222.587948	951.6895328	1075.047257	1059.844404	1151.386765	740.5919096	1075.664767	777.5120664	1016.594569	1155.605021
IRAK3	694.3520159	436.0762283	757.3495087	813.9972478	478.3809348	555.3984564	788.3232496	713.6509992	678.1611719	533.2067933	597.0114046	621.2832138	883.9478711	791.0543852	729.2559358	559.8773501	737.8341192	617.7646159	857.6851597	743.4363917
TMTC2	1451.324638	3947.198594	1308.999151	1471.548195	1298.776745	3526.420883	1144.001639	1318.082367	1475.931469	2538.064336	3636.342192	1922.770859	1796.87764	1277.326926	1497.068703	3784.872222	1620.987852	1318.195745	1518.152392	2071.062205
CRADD	1723.294526	2253.755344	1749.487754	1686.761126	1932.219086	2386.878764	1849.527624	1804.606179	1835.887233	2181.577508	2067.163891	2052.546704	1871.143752	1652.560855	1719.102871	2676.095509	1736.344658	1743.816574	1732.396328	1813.882605
PLXNC1	1795.737972	1606.728283	1758.837748	1915.474499	1581.406401	1716.499481	1625.625163	1668.08164	1813.319473	1833.215737	1614.882524	1692.306857	1935.447337	1755.175848	1706.472185	1791.100844	1751.326062	1435.492824	1698.344311	1887.11918
TMCC3	711.5419862	1374.098708	709.5606508	771.1134903	957.861596	1314.066588	628.5595141	708.6864705	784.2296414	1167.976785	1081.666596	972.5730022	884.8535554	647.8528653	689.3695583	1559.718651	671.1668739	987.5296935	692.3909974	883.0968364
LTA4H	360.3754494	264.3138898	288.8109238	379.6006677	387.103653	404.4861217	317.1951537	336.3468188	348.6718837	311.7990201	317.0730427	284.9101893	455.5592	324.6922162	374.9319488	331.0285388	374.5350859	334.0173963	387.341685	442.8258003
RMST	155.937588	932.1858952	125.705474	114.3566865	180.3551111	686.8051152	115.4497067	150.1769929	146.6904365	480.3939299	511.3159877	303.5561441	142.1924342	104.1465599	174.1705152	589.4334696	167.0426483	123.9997692	117.7632229	252.0700709
IKBIP	384.9325499	210.9508332	361.5330988	466.9564699	284.8291083	354.1820101	385.9985142	364.8928587	387.0370748	309.7677561	357.0642372	302.0644677	457.3705685	414.2888891	420.1365099	283.7387476	429.9662786	319.4949008	417.8466163	464.1155022
IGF1	271.3559602	506.1152401	170.3776673	316.0691752	685.1294768	674.4857409	130.6097692	212.2336015	323.8473483	418.4403787	427.5249134	473.6072518	163.0231729	190.6800987	261.2557728	579.2999429	265.919911	220.0716625	168.1318303	252.921659
ASCL1	4.911420094	13.34076415	4.15555286	4.764861938	5.498631435	8.212916176	4.664634613	2.482264345	12.41226771	16.25011179	1.904342599	8.950058302	2.717052882	4.594701172	3.323864794	14.35582949	2.247210515	2.234230076	7.094170056	0
NUAK1	616.3832219	680.3789718	391.6608571	527.3113878	845.6895147	812.0520869	399.992418	493.9706047	567.5791506	1010.553827	691.2763633	551.920262	473.6728858	438.0281784	462.0172064	617.3006681	451.6893136	594.3052001	390.8887701	626.768825
ASCL4	26.39888301	50.02786558	37.39997574	19.05944775	17.59562059	40.03796636	37.3170769	31.02830431	38.36519109	40.62527949	33.32599547	43.25861513	22.64210735	30.63134115	33.9034209	56.5788574	28.46466653	32.3963361	33.34259926	21.28970194
CMKLR1	537.8005003	340.1894859	713.7162037	638.4914997	413.4970839	429.1248702	608.734817	542.3747594	590.14691	435.7061225	487.5117052	488.5240157	647.5642703	646.3212983	636.8524945	369.8737245	596.2598567	605.4763505	665.4331512	582.486245
FAM222A	320.4701612	488.6054871	231.6720719	240.6255279	293.6269186	519.4669481	226.2347787	269.3256814	231.3195345	396.096475	361.8250937	387.8358598	249.9688652	245.8165127	243.9716759	378.3183301	229.9645427	306.0895204	228.4322758	246.9605425
PHETA1	168.2161382	185.1031026	161.0276733	173.1233171	181.4548374	151.9389493	180.7545912	147.6947285	172.6433599	161.485486	171.3908339	189.4429007	202.8732819	183.7880469	197.4375688	204.3594551	158.8028764	201.0807068	142.5928181	151.5826778
